Time,Source,Destination,source port,dest port,Seq,Time,SSRC
1695711124.243640,10.1.6.3,103.242.182.119,9848,17136,56849,2130712524,0x695F8610
1695711124.263050,10.1.6.3,103.242.182.119,9848,17136,56850,2130712684,0x695F8610
1695711124.283370,10.1.6.3,103.242.182.119,9848,17136,56851,2130712844,0x695F8610
1695711124.302700,10.1.6.3,103.242.182.119,9848,17136,56852,2130713004,0x695F8610
1695711124.322940,10.1.6.3,103.242.182.119,9848,17136,56853,2130713164,0x695F8610
1695711124.343310,10.1.6.3,103.242.182.119,9848,17136,56854,2130713324,0x695F8610
1695711124.362570,10.1.6.3,103.242.182.119,9848,17136,56855,2130713484,0x695F8610
1695711124.382990,10.1.6.3,103.242.182.119,9848,17136,56856,2130713644,0x695F8610
1695711124.403300,10.1.6.3,103.242.182.119,9848,17136,56857,2130713804,0x695F8610
1695711124.422640,10.1.6.3,103.242.182.119,9848,17136,56858,2130713964,0x695F8610
1695711124.442930,10.1.6.3,103.242.182.119,9848,17136,56859,2130714124,0x695F8610
1695711124.463320,10.1.6.3,103.242.182.119,9848,17136,56860,2130714284,0x695F8610
1695711124.482630,10.1.6.3,103.242.182.119,9848,17136,56861,2130714444,0x695F8610
1695711124.503000,10.1.6.3,103.242.182.119,9848,17136,56862,2130714604,0x695F8610
1695711124.523240,10.1.6.3,103.242.182.119,9848,17136,56863,2130714764,0x695F8610
1695711124.542620,10.1.6.3,103.242.182.119,9848,17136,56864,2130714924,0x695F8610
1695711124.562920,10.1.6.3,103.242.182.119,9848,17136,56865,2130715084,0x695F8610
1695711124.583400,10.1.6.3,103.242.182.119,9848,17136,56866,2130715244,0x695F8610
1695711124.602700,10.1.6.3,103.242.182.119,9848,17136,56867,2130715404,0x695F8610
1695711124.623090,10.1.6.3,103.242.182.119,9848,17136,56868,2130715564,0x695F8610
1695711124.643410,10.1.6.3,103.242.182.119,9848,17136,56869,2130715724,0x695F8610
1695711124.662790,10.1.6.3,103.242.182.119,9848,17136,56870,2130715884,0x695F8610
1695711124.683090,10.1.6.3,103.242.182.119,9848,17136,56871,2130716044,0x695F8610
1695711124.703480,10.1.6.3,103.242.182.119,9848,17136,56872,2130716204,0x695F8610
1695711124.722760,10.1.6.3,103.242.182.119,9848,17136,56873,2130716364,0x695F8610
1695711124.743090,10.1.6.3,103.242.182.119,9848,17136,56874,2130716524,0x695F8610
1695711124.763330,10.1.6.3,103.242.182.119,9848,17136,56875,2130716684,0x695F8610
1695711124.782640,10.1.6.3,103.242.182.119,9848,17136,56876,2130716844,0x695F8610
1695711124.802920,10.1.6.3,103.242.182.119,9848,17136,56877,2130717004,0x695F8610
1695711124.823360,10.1.6.3,103.242.182.119,9848,17136,56878,2130717164,0x695F8610
1695711124.842650,10.1.6.3,103.242.182.119,9848,17136,56879,2130717324,0x695F8610
1695711124.863160,10.1.6.3,103.242.182.119,9848,17136,56880,2130717484,0x695F8610
1695711124.883510,10.1.6.3,103.242.182.119,9848,17136,56881,2130717644,0x695F8610
1695711124.902980,10.1.6.3,103.242.182.119,9848,17136,56882,2130717804,0x695F8610
1695711124.923310,10.1.6.3,103.242.182.119,9848,17136,56883,2130717964,0x695F8610
1695711124.942730,10.1.6.3,103.242.182.119,9848,17136,56884,2130718124,0x695F8610
1695711124.963050,10.1.6.3,103.242.182.119,9848,17136,56885,2130718284,0x695F8610
1695711124.983540,10.1.6.3,103.242.182.119,9848,17136,56886,2130718444,0x695F8610
1695711125.002910,10.1.6.3,103.242.182.119,9848,17136,56887,2130718604,0x695F8610
1695711125.023370,10.1.6.3,103.242.182.119,9848,17136,56888,2130718764,0x695F8610
1695711125.042760,10.1.6.3,103.242.182.119,9848,17136,56889,2130718924,0x695F8610
1695711125.063250,10.1.6.3,103.242.182.119,9848,17136,56890,2130719084,0x695F8610
1695711125.083610,10.1.6.3,103.242.182.119,9848,17136,56891,2130719244,0x695F8610
1695711125.103100,10.1.6.3,103.242.182.119,9848,17136,56892,2130719404,0x695F8610
1695711125.123470,10.1.6.3,103.242.182.119,9848,17136,56893,2130719564,0x695F8610
1695711125.142970,10.1.6.3,103.242.182.119,9848,17136,56894,2130719724,0x695F8610
1695711125.163280,10.1.6.3,103.242.182.119,9848,17136,56895,2130719884,0x695F8610
1695711125.182730,10.1.6.3,103.242.182.119,9848,17136,56896,2130720044,0x695F8610
1695711125.203090,10.1.6.3,103.242.182.119,9848,17136,56897,2130720204,0x695F8610
1695711125.223570,10.1.6.3,103.242.182.119,9848,17136,56898,2130720364,0x695F8610
1695711125.242860,10.1.6.3,103.242.182.119,9848,17136,56899,2130720524,0x695F8610
1695711125.263260,10.1.6.3,103.242.182.119,9848,17136,56900,2130720684,0x695F8610
1695711125.283610,10.1.6.3,103.242.182.119,9848,17136,56901,2130720844,0x695F8610
1695711125.303150,10.1.6.3,103.242.182.119,9848,17136,56902,2130721004,0x695F8610
1695711125.323540,10.1.6.3,103.242.182.119,9848,17136,56903,2130721164,0x695F8610
1695711125.342870,10.1.6.3,103.242.182.119,9848,17136,56904,2130721324,0x695F8610
1695711125.363110,10.1.6.3,103.242.182.119,9848,17136,56905,2130721484,0x695F8610
1695711125.383470,10.1.6.3,103.242.182.119,9848,17136,56906,2130721644,0x695F8610
1695711125.402830,10.1.6.3,103.242.182.119,9848,17136,56907,2130721804,0x695F8610
1695711125.423280,10.1.6.3,103.242.182.119,9848,17136,56908,2130721964,0x695F8610
1695711125.443610,10.1.6.3,103.242.182.119,9848,17136,56909,2130722124,0x695F8610
1695711125.463110,10.1.6.3,103.242.182.119,9848,17136,56910,2130722284,0x695F8610
1695711125.483470,10.1.6.3,103.242.182.119,9848,17136,56911,2130722444,0x695F8610
1695711125.502840,10.1.6.3,103.242.182.119,9848,17136,56912,2130722604,0x695F8610
1695711125.523160,10.1.6.3,103.242.182.119,9848,17136,56913,2130722764,0x695F8610
1695711125.543520,10.1.6.3,103.242.182.119,9848,17136,56914,2130722924,0x695F8610
1695711125.562800,10.1.6.3,103.242.182.119,9848,17136,56915,2130723084,0x695F8610
1695711125.583220,10.1.6.3,103.242.182.119,9848,17136,56916,2130723244,0x695F8610
1695711125.603450,10.1.6.3,103.242.182.119,9848,17136,56917,2130723404,0x695F8610
1695711125.622880,10.1.6.3,103.242.182.119,9848,17136,56918,2130723564,0x695F8610
1695711125.643170,10.1.6.3,103.242.182.119,9848,17136,56919,2130723724,0x695F8610
1695711125.662640,10.1.6.3,103.242.182.119,9848,17136,56920,2130723884,0x695F8610
1695711125.682940,10.1.6.3,103.242.182.119,9848,17136,56921,2130724044,0x695F8610
1695711125.703300,10.1.6.3,103.242.182.119,9848,17136,56922,2130724204,0x695F8610
1695711125.723590,10.1.6.3,103.242.182.119,9848,17136,56923,2130724364,0x695F8610
1695711125.742980,10.1.6.3,103.242.182.119,9848,17136,56924,2130724524,0x695F8610
1695711125.763270,10.1.6.3,103.242.182.119,9848,17136,56925,2130724684,0x695F8610
1695711125.782620,10.1.6.3,103.242.182.119,9848,17136,56926,2130724844,0x695F8610
1695711125.802870,10.1.6.3,103.242.182.119,9848,17136,56927,2130725004,0x695F8610
1695711125.823260,10.1.6.3,103.242.182.119,9848,17136,56928,2130725164,0x695F8610
1695711125.843500,10.1.6.3,103.242.182.119,9848,17136,56929,2130725324,0x695F8610
1695711125.862850,10.1.6.3,103.242.182.119,9848,17136,56930,2130725484,0x695F8610
1695711125.883090,10.1.6.3,103.242.182.119,9848,17136,56931,2130725644,0x695F8610
1695711125.903480,10.1.6.3,103.242.182.119,9848,17136,56932,2130725804,0x695F8610
1695711125.922890,10.1.6.3,103.242.182.119,9848,17136,56933,2130725964,0x695F8610
1695711125.943370,10.1.6.3,103.242.182.119,9848,17136,56934,2130726124,0x695F8610
1695711125.962750,10.1.6.3,103.242.182.119,9848,17136,56935,2130726284,0x695F8610
1695711125.983230,10.1.6.3,103.242.182.119,9848,17136,56936,2130726444,0x695F8610
1695711126.003510,10.1.6.3,103.242.182.119,9848,17136,56937,2130726604,0x695F8610
1695711126.022930,10.1.6.3,103.242.182.119,9848,17136,56938,2130726764,0x695F8610
1695711126.043220,10.1.6.3,103.242.182.119,9848,17136,56939,2130726924,0x695F8610
1695711126.062620,10.1.6.3,103.242.182.119,9848,17136,56940,2130727084,0x695F8610
1695711126.082920,10.1.6.3,103.242.182.119,9848,17136,56941,2130727244,0x695F8610
1695711126.103380,10.1.6.3,103.242.182.119,9848,17136,56942,2130727404,0x695F8610
1695711126.122660,10.1.6.3,103.242.182.119,9848,17136,56943,2130727564,0x695F8610
1695711126.143030,10.1.6.3,103.242.182.119,9848,17136,56944,2130727724,0x695F8610
1695711126.163320,10.1.6.3,103.242.182.119,9848,17136,56945,2130727884,0x695F8610
1695711126.182670,10.1.6.3,103.242.182.119,9848,17136,56946,2130728044,0x695F8610
1695711126.202960,10.1.6.3,103.242.182.119,9848,17136,56947,2130728204,0x695F8610
1695711126.223340,10.1.6.3,103.242.182.119,9848,17136,56948,2130728364,0x695F8610
1695711126.242610,10.1.6.3,103.242.182.119,9848,17136,56949,2130728524,0x695F8610
1695711126.262970,10.1.6.3,103.242.182.119,9848,17136,56950,2130728684,0x695F8610
1695711126.283330,10.1.6.3,103.242.182.119,9848,17136,56951,2130728844,0x695F8610
1695711126.302780,10.1.6.3,103.242.182.119,9848,17136,56952,2130729004,0x695F8610
1695711126.323080,10.1.6.3,103.242.182.119,9848,17136,56953,2130729164,0x695F8610
1695711126.343460,10.1.6.3,103.242.182.119,9848,17136,56954,2130729324,0x695F8610
1695711126.362780,10.1.6.3,103.242.182.119,9848,17136,56955,2130729484,0x695F8610
1695711126.383170,10.1.6.3,103.242.182.119,9848,17136,56956,2130729644,0x695F8610
1695711126.403480,10.1.6.3,103.242.182.119,9848,17136,56957,2130729804,0x695F8610
1695711126.422880,10.1.6.3,103.242.182.119,9848,17136,56958,2130729964,0x695F8610
1695711126.443150,10.1.6.3,103.242.182.119,9848,17136,56959,2130730124,0x695F8610
1695711126.463610,10.1.6.3,103.242.182.119,9848,17136,56960,2130730284,0x695F8610
1695711126.482880,10.1.6.3,103.242.182.119,9848,17136,56961,2130730444,0x695F8610
1695711126.503300,10.1.6.3,103.242.182.119,9848,17136,56962,2130730604,0x695F8610
1695711126.522620,10.1.6.3,103.242.182.119,9848,17136,56963,2130730764,0x695F8610
1695711126.543120,10.1.6.3,103.242.182.119,9848,17136,56964,2130730924,0x695F8610
1695711126.563540,10.1.6.3,103.242.182.119,9848,17136,56965,2130731084,0x695F8610
1695711126.583010,10.1.6.3,103.242.182.119,9848,17136,56966,2130731244,0x695F8610
1695711126.603320,10.1.6.3,103.242.182.119,9848,17136,56967,2130731404,0x695F8610
1695711126.622700,10.1.6.3,103.242.182.119,9848,17136,56968,2130731564,0x695F8610
1695711126.642960,10.1.6.3,103.242.182.119,9848,17136,56969,2130731724,0x695F8610
1695711126.663330,10.1.6.3,103.242.182.119,9848,17136,56970,2130731884,0x695F8610
1695711126.682580,10.1.6.3,103.242.182.119,9848,17136,56971,2130732044,0x695F8610
1695711126.703000,10.1.6.3,103.242.182.119,9848,17136,56972,2130732204,0x695F8610
1695711126.723270,10.1.6.3,103.242.182.119,9848,17136,56973,2130732364,0x695F8610
1695711126.742700,10.1.6.3,103.242.182.119,9848,17136,56974,2130732524,0x695F8610
1695711126.763030,10.1.6.3,103.242.182.119,9848,17136,56975,2130732684,0x695F8610
1695711126.783450,10.1.6.3,103.242.182.119,9848,17136,56976,2130732844,0x695F8610
1695711126.802710,10.1.6.3,103.242.182.119,9848,17136,56977,2130733004,0x695F8610
1695711126.823090,10.1.6.3,103.242.182.119,9848,17136,56978,2130733164,0x695F8610
1695711126.843360,10.1.6.3,103.242.182.119,9848,17136,56979,2130733324,0x695F8610
1695711126.862740,10.1.6.3,103.242.182.119,9848,17136,56980,2130733484,0x695F8610
1695711126.883040,10.1.6.3,103.242.182.119,9848,17136,56981,2130733644,0x695F8610
1695711126.903450,10.1.6.3,103.242.182.119,9848,17136,56982,2130733804,0x695F8610
1695711126.922770,10.1.6.3,103.242.182.119,9848,17136,56983,2130733964,0x695F8610
1695711126.943220,10.1.6.3,103.242.182.119,9848,17136,56984,2130734124,0x695F8610
1695711126.963510,10.1.6.3,103.242.182.119,9848,17136,56985,2130734284,0x695F8610
1695711126.982880,10.1.6.3,103.242.182.119,9848,17136,56986,2130734444,0x695F8610
1695711127.003180,10.1.6.3,103.242.182.119,9848,17136,56987,2130734604,0x695F8610
1695711127.023570,10.1.6.3,103.242.182.119,9848,17136,56988,2130734764,0x695F8610
1695711127.042910,10.1.6.3,103.242.182.119,9848,17136,56989,2130734924,0x695F8610
1695711127.063290,10.1.6.3,103.242.182.119,9848,17136,56990,2130735084,0x695F8610
1695711127.083630,10.1.6.3,103.242.182.119,9848,17136,56991,2130735244,0x695F8610
1695711127.103030,10.1.6.3,103.242.182.119,9848,17136,56992,2130735404,0x695F8610
1695711127.123320,10.1.6.3,103.242.182.119,9848,17136,56993,2130735564,0x695F8610
1695711127.142700,10.1.6.3,103.242.182.119,9848,17136,56994,2130735724,0x695F8610
1695711127.163000,10.1.6.3,103.242.182.119,9848,17136,56995,2130735884,0x695F8610
1695711127.183430,10.1.6.3,103.242.182.119,9848,17136,56996,2130736044,0x695F8610
1695711127.202720,10.1.6.3,103.242.182.119,9848,17136,56997,2130736204,0x695F8610
1695711127.223070,10.1.6.3,103.242.182.119,9848,17136,56998,2130736364,0x695F8610
1695711127.243360,10.1.6.3,103.242.182.119,9848,17136,56999,2130736524,0x695F8610
1695711127.262740,10.1.6.3,103.242.182.119,9848,17136,57000,2130736684,0x695F8610
1695711127.283030,10.1.6.3,103.242.182.119,9848,17136,57001,2130736844,0x695F8610
1695711127.303350,10.1.6.3,103.242.182.119,9848,17136,57002,2130737004,0x695F8610
1695711127.322660,10.1.6.3,103.242.182.119,9848,17136,57003,2130737164,0x695F8610
1695711127.343170,10.1.6.3,103.242.182.119,9848,17136,57004,2130737324,0x695F8610
1695711127.363430,10.1.6.3,103.242.182.119,9848,17136,57005,2130737484,0x695F8610
1695711127.382960,10.1.6.3,103.242.182.119,9848,17136,57006,2130737644,0x695F8610
1695711127.403250,10.1.6.3,103.242.182.119,9848,17136,57007,2130737804,0x695F8610
1695711127.422570,10.1.6.3,103.242.182.119,9848,17136,57008,2130737964,0x695F8610
1695711127.442810,10.1.6.3,103.242.182.119,9848,17136,57009,2130738124,0x695F8610
1695711127.463220,10.1.6.3,103.242.182.119,9848,17136,57010,2130738284,0x695F8610
1695711127.483510,10.1.6.3,103.242.182.119,9848,17136,57011,2130738444,0x695F8610
1695711127.502930,10.1.6.3,103.242.182.119,9848,17136,57012,2130738604,0x695F8610
1695711127.523230,10.1.6.3,103.242.182.119,9848,17136,57013,2130738764,0x695F8610
1695711127.542680,10.1.6.3,103.242.182.119,9848,17136,57014,2130738924,0x695F8610
1695711127.562930,10.1.6.3,103.242.182.119,9848,17136,57015,2130739084,0x695F8610
1695711127.583380,10.1.6.3,103.242.182.119,9848,17136,57016,2130739244,0x695F8610
1695711127.602660,10.1.6.3,103.242.182.119,9848,17136,57017,2130739404,0x695F8610
1695711127.623090,10.1.6.3,103.242.182.119,9848,17136,57018,2130739564,0x695F8610
1695711127.643380,10.1.6.3,103.242.182.119,9848,17136,57019,2130739724,0x695F8610
1695711127.662810,10.1.6.3,103.242.182.119,9848,17136,57020,2130739884,0x695F8610
1695711127.683170,10.1.6.3,103.242.182.119,9848,17136,57021,2130740044,0x695F8610
1695711127.702640,10.1.6.3,103.242.182.119,9848,17136,57022,2130740204,0x695F8610
1695711127.722910,10.1.6.3,103.242.182.119,9848,17136,57023,2130740364,0x695F8610
1695711127.743340,10.1.6.3,103.242.182.119,9848,17136,57024,2130740524,0x695F8610
1695711127.762640,10.1.6.3,103.242.182.119,9848,17136,57025,2130740684,0x695F8610
1695711127.783040,10.1.6.3,103.242.182.119,9848,17136,57026,2130740844,0x695F8610
1695711127.803330,10.1.6.3,103.242.182.119,9848,17136,57027,2130741004,0x695F8610
1695711127.822780,10.1.6.3,103.242.182.119,9848,17136,57028,2130741164,0x695F8610
1695711127.843060,10.1.6.3,103.242.182.119,9848,17136,57029,2130741324,0x695F8610
1695711127.863490,10.1.6.3,103.242.182.119,9848,17136,57030,2130741484,0x695F8610
1695711127.882750,10.1.6.3,103.242.182.119,9848,17136,57031,2130741644,0x695F8610
1695711127.903200,10.1.6.3,103.242.182.119,9848,17136,57032,2130741804,0x695F8610
1695711127.923550,10.1.6.3,103.242.182.119,9848,17136,57033,2130741964,0x695F8610
1695711127.943020,10.1.6.3,103.242.182.119,9848,17136,57034,2130742124,0x695F8610
1695711127.963360,10.1.6.3,103.242.182.119,9848,17136,57035,2130742284,0x695F8610
1695711127.982820,10.1.6.3,103.242.182.119,9848,17136,57036,2130742444,0x695F8610
1695711128.003160,10.1.6.3,103.242.182.119,9848,17136,57037,2130742604,0x695F8610
1695711128.023600,10.1.6.3,103.242.182.119,9848,17136,57038,2130742764,0x695F8610
1695711128.042930,10.1.6.3,103.242.182.119,9848,17136,57039,2130742924,0x695F8610
1695711128.063390,10.1.6.3,103.242.182.119,9848,17136,57040,2130743084,0x695F8610
1695711128.082720,10.1.6.3,103.242.182.119,9848,17136,57041,2130743244,0x695F8610
1695711128.103150,10.1.6.3,103.242.182.119,9848,17136,57042,2130743404,0x695F8610
1695711128.123440,10.1.6.3,103.242.182.119,9848,17136,57043,2130743564,0x695F8610
1695711128.142890,10.1.6.3,103.242.182.119,9848,17136,57044,2130743724,0x695F8610
1695711128.163210,10.1.6.3,103.242.182.119,9848,17136,57045,2130743884,0x695F8610
1695711128.182570,10.1.6.3,103.242.182.119,9848,17136,57046,2130744044,0x695F8610
1695711128.202880,10.1.6.3,103.242.182.119,9848,17136,57047,2130744204,0x695F8610
1695711128.223260,10.1.6.3,103.242.182.119,9848,17136,57048,2130744364,0x695F8610
1695711128.243550,10.1.6.3,103.242.182.119,9848,17136,57049,2130744524,0x695F8610
1695711128.262980,10.1.6.3,103.242.182.119,9848,17136,57050,2130744684,0x695F8610
1695711128.283270,10.1.6.3,103.242.182.119,9848,17136,57051,2130744844,0x695F8610
1695711128.302650,10.1.6.3,103.242.182.119,9848,17136,57052,2130745004,0x695F8610
1695711128.322960,10.1.6.3,103.242.182.119,9848,17136,57053,2130745164,0x695F8610
1695711128.343340,10.1.6.3,103.242.182.119,9848,17136,57054,2130745324,0x695F8610
1695711128.362570,10.1.6.3,103.242.182.119,9848,17136,57055,2130745484,0x695F8610
1695711128.382960,10.1.6.3,103.242.182.119,9848,17136,57056,2130745644,0x695F8610
1695711128.403260,10.1.6.3,103.242.182.119,9848,17136,57057,2130745804,0x695F8610
1695711128.422680,10.1.6.3,103.242.182.119,9848,17136,57058,2130745964,0x695F8610
1695711128.442970,10.1.6.3,103.242.182.119,9848,17136,57059,2130746124,0x695F8610
1695711128.463350,10.1.6.3,103.242.182.119,9848,17136,57060,2130746284,0x695F8610
1695711128.482580,10.1.6.3,103.242.182.119,9848,17136,57061,2130746444,0x695F8610
1695711128.502950,10.1.6.3,103.242.182.119,9848,17136,57062,2130746604,0x695F8610
1695711128.523190,10.1.6.3,103.242.182.119,9848,17136,57063,2130746764,0x695F8610
1695711128.542560,10.1.6.3,103.242.182.119,9848,17136,57064,2130746924,0x695F8610
1695711128.562800,10.1.6.3,103.242.182.119,9848,17136,57065,2130747084,0x695F8610
1695711128.583130,10.1.6.3,103.242.182.119,9848,17136,57066,2130747244,0x695F8610
1695711128.603390,10.1.6.3,103.242.182.119,9848,17136,57067,2130747404,0x695F8610
1695711128.622780,10.1.6.3,103.242.182.119,9848,17136,57068,2130747564,0x695F8610
1695711128.643070,10.1.6.3,103.242.182.119,9848,17136,57069,2130747724,0x695F8610
1695711128.663450,10.1.6.3,103.242.182.119,9848,17136,57070,2130747884,0x695F8610
1695711128.682740,10.1.6.3,103.242.182.119,9848,17136,57071,2130748044,0x695F8610
1695711128.703100,10.1.6.3,103.242.182.119,9848,17136,57072,2130748204,0x695F8610
1695711128.723390,10.1.6.3,103.242.182.119,9848,17136,57073,2130748364,0x695F8610
1695711128.742800,10.1.6.3,103.242.182.119,9848,17136,57074,2130748524,0x695F8610
1695711128.763090,10.1.6.3,103.242.182.119,9848,17136,57075,2130748684,0x695F8610
1695711128.783480,10.1.6.3,103.242.182.119,9848,17136,57076,2130748844,0x695F8610
1695711128.802770,10.1.6.3,103.242.182.119,9848,17136,57077,2130749004,0x695F8610
1695711128.823180,10.1.6.3,103.242.182.119,9848,17136,57078,2130749164,0x695F8610
1695711128.843470,10.1.6.3,103.242.182.119,9848,17136,57079,2130749324,0x695F8610
1695711128.862840,10.1.6.3,103.242.182.119,9848,17136,57080,2130749484,0x695F8610
1695711128.883120,10.1.6.3,103.242.182.119,9848,17136,57081,2130749644,0x695F8610
1695711128.903510,10.1.6.3,103.242.182.119,9848,17136,57082,2130749804,0x695F8610
1695711128.922750,10.1.6.3,103.242.182.119,9848,17136,57083,2130749964,0x695F8610
1695711128.943090,10.1.6.3,103.242.182.119,9848,17136,57084,2130750124,0x695F8610
1695711128.963310,10.1.6.3,103.242.182.119,9848,17136,57085,2130750284,0x695F8610
1695711128.982690,10.1.6.3,103.242.182.119,9848,17136,57086,2130750444,0x695F8610
1695711129.003040,10.1.6.3,103.242.182.119,9848,17136,57087,2130750604,0x695F8610
1695711129.023480,10.1.6.3,103.242.182.119,9848,17136,57088,2130750764,0x695F8610
1695711129.042840,10.1.6.3,103.242.182.119,9848,17136,57089,2130750924,0x695F8610
1695711129.063280,10.1.6.3,103.242.182.119,9848,17136,57090,2130751084,0x695F8610
1695711129.083600,10.1.6.3,103.242.182.119,9848,17136,57091,2130751244,0x695F8610
1695711129.103070,10.1.6.3,103.242.182.119,9848,17136,57092,2130751404,0x695F8610
1695711129.123350,10.1.6.3,103.242.182.119,9848,17136,57093,2130751564,0x695F8610
1695711129.142770,10.1.6.3,103.242.182.119,9848,17136,57094,2130751724,0x695F8610
1695711129.163110,10.1.6.3,103.242.182.119,9848,17136,57095,2130751884,0x695F8610
1695711129.183520,10.1.6.3,103.242.182.119,9848,17136,57096,2130752044,0x695F8610
1695711129.202800,10.1.6.3,103.242.182.119,9848,17136,57097,2130752204,0x695F8610
1695711129.223220,10.1.6.3,103.242.182.119,9848,17136,57098,2130752364,0x695F8610
1695711129.243590,10.1.6.3,103.242.182.119,9848,17136,57099,2130752524,0x695F8610
1695711129.263010,10.1.6.3,103.242.182.119,9848,17136,57100,2130752684,0x695F8610
1695711129.283300,10.1.6.3,103.242.182.119,9848,17136,57101,2130752844,0x695F8610
1695711129.302770,10.1.6.3,103.242.182.119,9848,17136,57102,2130753004,0x695F8610
